Proteins,Degree,Closeness,Betweenness,Eigenvector,Harmonic,Hub_Score,Authority_Score,Page_Rank,Power_Centrality
ENSP00000000233,14.000,0.211,5611.244,0.000,0.213,0.000,0.000,0.000,0.000
ENSP00000000412,4.000,0.196,50.641,0.000,0.196,0.000,0.000,0.000,0.000
ENSP00000001008,22.000,0.216,35520.225,0.000,0.219,0.000,0.000,0.000,0.000
ENSP00000001146,10.000,0.230,32666.011,0.000,0.233,0.000,0.000,0.000,0.000
ENSP00000002596,8.000,0.224,1557.679,0.000,0.227,0.000,0.000,0.000,0.000
ENSP00000002829,28.000,0.251,83956.295,0.000,0.257,0.000,0.000,0.000,0.000
ENSP00000003084,6.000,0.196,1869.095,0.000,0.197,0.000,0.000,0.000,0.000
ENSP00000003100,80.000,0.249,697574.966,0.000,0.256,0.000,0.000,0.000,0.000
ENSP00000003302,8.000,0.212,324.359,0.000,0.213,0.000,0.000,0.000,0.000
ENSP00000004531,20.000,0.251,169052.784,0.012,0.260,0.012,0.012,0.000,0.000
ENSP00000004982,18.000,0.223,29739.866,0.000,0.226,0.000,0.000,0.000,0.000
ENSP00000005178,22.000,0.221,48736.895,0.000,0.224,0.000,0.000,0.000,0.000
ENSP00000005226,30.000,0.244,204292.309,0.000,0.249,0.000,0.000,0.000,0.000
ENSP00000005257,32.000,0.259,12147.322,0.000,0.266,0.000,0.000,0.000,0.000
ENSP00000005260,34.000,0.248,51322.338,0.000,0.253,0.000,0.000,0.000,0.000
ENSP00000005284,132.000,0.286,1213471.402,0.003,0.299,0.003,0.003,0.000,0.000
ENSP00000005340,10.000,0.232,681.425,0.003,0.237,0.003,0.003,0.000,0.000
ENSP00000005386,134.000,0.285,914522.775,0.012,0.299,0.012,0.012,0.000,0.000
ENSP00000005587,324.000,0.317,4322892.679,0.014,0.336,0.014,0.014,0.001,0.001
ENSP00000006053,32.000,0.245,76865.927,0.000,0.250,0.000,0.000,0.000,0.000
ENSP00000006275,60.000,0.263,87063.803,0.001,0.270,0.001,0.001,0.000,0.000
ENSP00000006526,24.000,0.265,61642.547,0.001,0.272,0.001,0.001,0.000,0.000
ENSP00000007390,230.000,0.304,1807647.458,0.003,0.319,0.003,0.003,0.001,0.001
ENSP00000007699,188.000,0.297,1573100.506,0.007,0.311,0.007,0.007,0.001,0.001
ENSP00000008391,46.000,0.263,23264.764,0.000,0.270,0.000,0.000,0.000,0.000
ENSP00000008527,74.000,0.274,309036.537,0.001,0.285,0.001,0.001,0.000,0.000
ENSP00000008938,246.000,0.306,1813840.257,0.008,0.322,0.008,0.008,0.001,0.001
ENSP00000009041,44.000,0.273,179691.465,0.001,0.282,0.001,0.001,0.000,0.000
ENSP00000009530,18.000,0.241,880.202,0.000,0.246,0.000,0.000,0.000,0.000
ENSP00000011292,30.000,0.246,28302.946,0.000,0.251,0.000,0.000,0.000,0.000
ENSP00000011473,6.000,0.175,3661.926,0.000,0.175,0.000,0.000,0.000,0.000
ENSP00000011619,14.000,0.200,54808.064,0.000,0.202,0.000,0.000,0.000,0.000
ENSP00000011653,6.000,0.162,845.964,0.000,0.161,0.000,0.000,0.000,0.000
ENSP00000012443,22.000,0.203,26709.898,0.000,0.206,0.000,0.000,0.000,0.000
ENSP00000013070,8.000,0.144,870.274,0.000,0.142,0.000,0.000,0.000,0.000
ENSP00000013125,12.000,0.152,53780.784,0.000,0.151,0.000,0.000,0.000,0.000
ENSP00000013807,16.000,0.167,41508.021,0.000,0.166,0.000,0.000,0.000,0.000
ENSP00000014914,16.000,0.167,41508.021,0.000,0.166,0.000,0.000,0.000,0.000
ENSP00000014930,16.000,0.167,41508.021,0.000,0.166,0.000,0.000,0.000,0.000
ENSP00000016171,10.000,0.200,15.271,0.000,0.201,0.000,0.000,0.000,0.000
ENSP00000016913,20.000,0.201,10322.302,0.000,0.203,0.000,0.000,0.000,0.000
ENSP00000016946,30.000,0.220,81685.144,0.000,0.223,0.000,0.000,0.000,0.000
ENSP00000017003,96.000,0.249,345451.744,0.000,0.257,0.000,0.000,0.000,0.000
ENSP00000019103,42.000,0.233,59908.759,0.000,0.238,0.000,0.000,0.000,0.000
ENSP00000020945,22.000,0.200,4794.046,0.000,0.202,0.000,0.000,0.000,0.000
ENSP00000023064,68.000,0.259,585734.890,0.000,0.266,0.000,0.000,0.000,0.000
ENSP00000023939,18.000,0.232,34541.959,0.000,0.236,0.000,0.000,0.000,0.000
ENSP00000025008,80.000,0.264,652024.152,0.007,0.273,0.007,0.007,0.000,0.000
ENSP00000025301,14.000,0.231,67122.800,0.000,0.234,0.000,0.000,0.000,0.000
ENSP00000026218,22.000,0.232,155101.288,0.000,0.236,0.000,0.000,0.000,0.000
ENSP00000027335,6.000,0.207,9807.208,0.000,0.208,0.000,0.000,0.000,0.000
ENSP00000029410,16.000,0.229,11667.906,0.000,0.232,0.000,0.000,0.000,0.000
ENSP00000037243,4.000,0.206,0.000,0.000,0.207,0.000,0.000,0.000,0.000
ENSP00000037502,2.000,0.206,0.000,0.000,0.206,0.000,0.000,0.000,0.000
