ensembl_gene_ids,GO_ratio
ENSG00000166913,60.345
ENSG00000108953,155.798
ENSG00000274474,155.798
ENSG00000128245,114.775
ENSG00000170027,106.031
ENSG00000175793,168.686
ENSG00000134308,50.196
ENSG00000164924,80.465
ENSG00000110455,22.285
ENSG00000205126,21.701
ENSG00000066027,52.355
ENSG00000068971,56.304
ENSG00000112640,51.826
ENSG00000154001,10.621
ENSG00000105568,139.261
ENSG00000137713,49.282
ENSG00000221914,25.767
ENSG00000156475,9.603
ENSG00000175470,0.449
ENSG00000074211,-0.141
ENSG00000203857,72.154
ENSG00000203859,73.002
ENSG00000099377,43.642
ENSG00000100092,19.834
ENSG00000087266,6.428
ENSG00000175137,44.395
ENSG00000131370,50.842
ENSG00000162882,107.245
ENSG00000106049,57.114
ENSG00000103152,11.751
ENSG00000187840,20.36
ENSG00000148730,55.095
ENSG00000243056,14.009
ENSG00000184708,61.217
ENSG00000168003,67.252
ENSG00000178394,63.229
ENSG00000135312,125.655
ENSG00000179546,20.226
ENSG00000168830,1.417
ENSG00000179097,1.417
ENSG00000102468,257.547
ENSG00000135914,175.313
ENSG00000147246,95.454
ENSG00000166736,32.638
ENSG00000149305,32.82
ENSG00000178084,31.766
ENSG00000186090,31.766
ENSG00000186038,31.766
ENSG00000164270,33.596
ENSG00000157219,13.076
ENSG00000158748,21.234
ENSG00000148680,22.138
ENSG00000136261,6.815
ENSG00000082153,6.576
ENSG00000116981,123
ENSG00000185013,63.005
ENSG00000141698,44.762
ENSG00000076685,128.243
ENSG00000135318,176.068
ENSG00000142657,67.532
ENSG00000130313,31.296
ENSG00000166922,51.414
ENSG00000277614,51.414
ENSG00000281931,51.414
ENSG00000106268,89.675
ENSG00000268223,-7.539
ENSG00000161618,3.719
ENSG00000085978,67.55
ENSG00000281089,67.55
ENSG00000168010,41.213
ENSG00000229314,67.449
ENSG00000228278,55.949
ENSG00000197249,67.497
ENSG00000121410,17.025
ENSG00000148584,36.976
ENSG00000260691,0.704
ENSG00000167711,158.271
ENSG00000276838,158.271
ENSG00000171236,60.901
ENSG00000175899,100.665
ENSG00000166535,24.567
ENSG00000163046,-7.539
ENSG00000184389,37.526
ENSG00000128274,35.532
ENSG00000118017,34.707
ENSG00000142192,641.993
ENSG00000253719,4.435
ENSG00000163485,258.782
ENSG00000128271,223.957
ENSG00000170425,153.065
ENSG00000282608,53.384
ENSG00000130876,35.56
ENSG00000114771,30.457
ENSG00000094914,32.712
ENSG00000105281,78.829
ENSG00000081760,80.344
ENSG00000196136,62.102
ENSG00000109576,95.648
ENSG00000103591,7.207
ENSG00000115977,62.207
ENSG00000111725,74.538
ENSG00000131791,52.609
ENSG00000181929,123.948
ENSG00000106617,212.895
ENSG00000115592,99.249
ENSG00000087884,6.774
ENSG00000127837,14.039
ENSG00000132356,371.422
ENSG00000162409,255.72
ENSG00000131043,-6.241
ENSG00000205002,-7.539
ENSG00000108825,17.028
ENSG00000266967,17.028
ENSG00000008311,119.656
ENSG00000169154,54.558
ENSG00000120053,162.132
ENSG00000275700,58.004
ENSG00000276072,58.004
ENSG00000125166,118.511
ENSG00000131969,28.017
ENSG00000129968,50.397
ENSG00000107362,48.126
ENSG00000136379,45.59
ENSG00000077420,22.383
ENSG00000128383,47.701
ENSG00000262156,47.701
ENSG00000179750,47.701
ENSG00000244509,81.089
ENSG00000243811,47.701
ENSG00000128394,48.526
ENSG00000239713,81.914
ENSG00000100298,50.444
ENSG00000165029,195.984
ENSG00000107331,245.125
ENSG00000167972,137.575
ENSG00000198691,151.394
ENSG00000154265,100.574
ENSG00000154262,27.734
ENSG00000064687,167.195
ENSG00000141338,80.607
ENSG00000154258,25.478
ENSG00000154263,32.851
ENSG00000144452,146.058
ENSG00000004846,38.723
ENSG00000115657,119.729
ENSG00000131269,93.714
ENSG00000150967,49.036
ENSG00000135776,113.723
ENSG00000073734,168.25
ENSG00000006071,458.751
ENSG00000069431,159.32
ENSG00000101986,418.801
ENSG00000173208,231.524
ENSG00000117528,162.158
ENSG00000119688,152.309
ENSG00000164163,42.039
ENSG00000204574,49.807
ENSG00000206490,49.807
ENSG00000236342,49.807
ENSG00000232169,49.807
ENSG00000225989,49.807
ENSG00000231129,49.807
ENSG00000236149,49.807
ENSG00000033050,18.148
ENSG00000161204,23.953
ENSG00000160179,180.121
ENSG00000118777,72.982
ENSG00000172350,106.571
ENSG00000138075,88.874
ENSG00000143921,95.593
ENSG00000100997,89.302
ENSG00000111701,74.315
ENSG00000124701,19.838
ENSG00000173627,13.187
ENSG00000168792,8.587
ENSG00000143994,54.814
ENSG00000140526,94.228
ENSG00000158201,65.69
ENSG00000100439,30.908
ENSG00000011198,60.525
ENSG00000163686,89.455
ENSG00000127220,5.891
ENSG00000144827,69.556
ENSG00000106077,9.884
ENSG00000139826,34.072
ENSG00000248487,1.333
ENSG00000114779,59.074
ENSG00000204427,29.404
ENSG00000206403,29.404
ENSG00000230475,29.404
ENSG00000236063,29.404
ENSG00000235676,29.404
ENSG00000231488,29.404
ENSG00000224552,29.404
ENSG00000183260,26.791
ENSG00000136754,78.564
ENSG00000108798,14.598
