NP_570602.2	A1BG
NP_000005.3	A2M
NP_000653.3	NAT1
NP_000006.2	NAT2
NP_001076.2	SERPINA3
NP_001077.2	AADAC
NP_001078.2	AAMP
NP_001079.1	AANAT
NP_001596.2	AARS1
NP_065737.2	ABAT
NP_005493.2	ABCA1
NP_001597.2	ABCA2
NP_001080.2	ABCA3
NP_001258625.1	ABCB7
NP_001020262.1	ABCF1
NP_000341.2	ABCA4
NP_005148.2	ABL1
NP_001082.2	AOC1
NP_009298.1	ABL2
NP_068781.2	ABR
NP_001598.1	ACAA1
NP_942131.1	ACACA
NP_001084.3	ACACB
NP_001599.1	ACADL
NP_000007.1	ACADM
NP_000008.1	ACADS
NP_001600.1	ACADSB
NP_000009.1	ACADVL
NP_000010.1	ACAT1
NP_005882.2	ACAT2
NP_899233.1	ASIC2
NP_001086.2	ASIC1
NP_000656.1	ACHE
NP_001087.2	ACLY
NP_002188.1	ACO1
NP_001088.2	ACR
NP_001089.1	ACO2
NP_004026.2	ACOX1
NP_004291.1	ACP1
NP_001601.1	ACP2
NP_001602.1	ACP5
NP_001090.2	ACP3
NP_001603.1	ACRV1
NP_001091.1	ACTA1
NP_001604.1	ACTA2
NP_001092.1	ACTB
NP_005150.1	ACTC1
NP_001605.1	ACTG1
NP_001606.1	ACTG2
NP_004915.2	ACTN4
NP_004292.1	ACTL6A
NP_001123476.1	ACTN1
NP_001094.1	ACTN2
NP_001095.2	ACTN3
NP_001104537.1	ACVR1
NP_004293.1	ACVR1B
NP_001607.1	ACVR2A
NP_001097.2	ACVR2B
NP_000011.2	ACVRL1
NP_000657.1	ACY1
NP_001098.1	ACYP1
NP_612457.1	ACYP2
NP_000013.2	ADA
NP_001100.3	ADAM8
NP_001101.1	ADAM10
NP_001102.3	ADAR
NP_001103.1	ADARB1
NP_061172.1	ADARB2
NP_066939.1	ADCY1
NP_065433.2	ADCY2
NP_004027.2	ADCY3
NP_899200.1	ADCY5
NP_056085.1	ADCY6
NP_001105.1	ADCY7
NP_001106.1	ADCY8
NP_001107.2	ADCY9
NP_001093203.1	ADCYAP1
NP_001109.2	ADCYAP1R1
NP_001341690.1	ADD1
NP_001608.1	ADD2
NP_058432.1	ADD3
NP_001113.2	PLIN2
NP_000658.1	ADH1A
NP_000659.2	ADH1B
NP_000660.1	ADH1C
NP_000661.2	ADH4
NP_000662.3	ADH5
NP_001095940.1	ADH6
NP_000664.3	ADH7
NP_006712.2	ADK
NP_001115.1	ADM
NP_000665.1	ADORA1
NP_000666.2	ADORA2A
NP_000667.1	ADORA2B
NP_000668.1	ADORA3
NP_001116.1	ADPRH
NP_001609.2	PARP1
NP_006428.2	PARP4
NP_000669.1	ADRA1D
NP_000670.1	ADRA1B
NP_000671.2	ADRA1A
NP_000672.3	ADRA2A
NP_000673.2	ADRA2B
NP_000674.2	ADRA2C
NP_000675.1	ADRB1
NP_000015.2	ADRB2
NP_000016.1	ADRB3
NP_001610.2	GRK2
NP_005151.2	GRK3
NP_000017.1	ADSL
NP_001117.2	ADSS2
NP_570603.2	AP2A1
NP_036437.1	AP2A2
NP_001118.3	AP1B1
NP_001025177.1	AP2B1
NP_001119.3	AP1G1
NP_001120.3	AEBP1
NP_001121.2	TLE5
NP_001122.2	CRISP1
NP_001124.1	AFM
NP_001125.1	AFP
NP_000018.2	AGA
NP_001356197.1	ACAN
NP_001127.1	AGER
NP_000633.2	AGL
NP_001129.1	AGRP
NP_000205.1	JAG1
NP_001371408.1	AGT
NP_000676.1	AGTR1
NP_000677.2	AGTR2
NP_005152.1	APLNR
NP_000021.1	AGXT
NP_000466.2	NR0B1
NP_000678.1	AHCY
NP_001612.1	AHR
NP_001613.2	AHSG
NP_001614.3	AIF1
NP_001358171.1	CRYBG1
NP_000467.1	AK1
NP_001616.1	AK2
NP_037542.1	AK4
NP_001369359.1	AKT1
NP_001617.1	AKT2
NP_000022.3	ALAD
NP_000679.1	ALAS1
NP_000023.2	ALAS2
NP_000468.1	ALB
NP_001618.2	ALCAM
NP_000024.2	ABCD1
NP_000680.2	ALDH1A1
NP_000681.2	ALDH2
NP_000682.3	ALDH3A1
NP_000683.3	ALDH1B1
NP_000684.2	ALDH1A3
NP_000685.1	ALDH3B1
NP_001380331.1	ALDH3B2
NP_000687.3	ALDH9A1
NP_000373.1	ALDH3A2
NP_005155.1	ABCD2
NP_001230106.1	ALDOA
NP_000026.2	ALDOB
NP_005156.1	ALDOC
NP_001619.1	AKR1B1
NP_004295.2	ALK
NP_000688.2	ALOX12
NP_000689.1	ALOX5
NP_001620.2	ALOX5AP
NP_001130.1	ALOX12B
NP_001131.3	ALOX15
NP_001132.2	ALOX15B
NP_001622.2	ALPI
NP_000469.3	ALPL
NP_001623.3	ALPP
NP_112603.2	ALPG
NP_006483.2	ALX3
NP_057603.1	AMBN
NP_001624.1	AMBP
NP_001625.2	AMD1
NP_001133.1	AMELX
NP_001134.1	AMELY
NP_001135.3	AMFR
NP_000470.3	AMH
NP_065434.1	AMHR2
NP_000027.3	AMPD1
NP_001355738.1	AMPD2
NP_001020560.1	AMPD3
NP_001626.1	AMPH
NP_647593.1	BIN1
NP_000472.2	AMT
NP_004029.2	AMY1A
NP_001008219.1	AMY1B
NP_001008220.1	AMY1C
NP_000690.1	AMY2A
NP_001374366.1	AMY2B
NP_001091046.1	ANG
NP_001137.2	ANGPT1
NP_001112359.1	ANGPT2
NP_000028.3	ANK1
NP_001139.3	ANK2
NP_066267.2	ANK3
NP_001141.2	ANPEP
NP_001142.2	SLC25A4
NP_001143.2	SLC25A5
NP_001627.2	SLC25A6
NP_000691.1	ANXA1
NP_004030.1	ANXA2
NP_005130.1	ANXA3
NP_001144.1	ANXA4
NP_001145.1	ANXA5
NP_001146.2	ANXA6
NP_001147.1	ANXA7
NP_665875.1	ANXA11
NP_004297.2	ANXA13
NP_001628.1	AOAH
NP_033720.2	AOC2
NP_001150.3	AOX1
NP_863651.1	APAF1
NP_001152.1	NUDT2
NP_001629.1	APOF
NP_001154.2	APBA1
NP_001340717.1	APBA2
NP_001155.1	APBB1
NP_004298.1	APBB2
NP_000029.2	APC
NP_001630.1	APCS
NP_000374.1	AIRE
NP_001631.3	APEH
NP_001632.2	APEX1
NP_001157.1	BIRC2
NP_001156.1	BIRC3
NP_001158.2	XIAP
NP_001159.2	BIRC5
NP_001019978.1	APLP1
NP_001135748.1	APLP2
NP_000030.1	APOA1
NP_001634.1	APOA2
NP_000473.2	APOA4
NP_000375.3	APOB
NP_001635.2	APOBEC1
NP_001636.1	APOC1
NP_001160.2	AQP8
NP_000474.2	APOC2
NP_000031.1	APOC3
NP_001637.1	APOC4
NP_001638.1	APOD
NP_000032.1	APOE
NP_000033.2	APOH
NP_000475.1	APP
NP_000476.1	APRT
NP_001639.1	KLK3
NP_000034.1	FAS
NP_000630.1	FASLG
NP_001640.1	SHROOM2
NP_932766.1	AQP1
NP_000477.1	AQP2
NP_004916.1	AQP3
NP_001641.1	AQP4
NP_001642.1	AQP5
NP_001643.2	AQP6
NP_001161.1	AQP7
NP_066190.2	AQP9
NP_000035.2	AR
NP_001162.5	ABCC6
NP_001645.1	ARAF
NP_001646.2	ARCN1
NP_001647.1	TRIM23
NP_001648.1	AREG
NP_001649.1	ARF1
NP_001650.1	ARF3
NP_001651.1	ARF4
NP_001652.2	ARL4D
NP_001653.1	ARF5
NP_001654.1	ARF6
NP_000036.2	ARG1
NP_001163.1	ARG2
NP_001655.1	RHOA
NP_004031.1	RHOB
NP_786886.1	RHOC
NP_005159.1	RND3
NP_001656.2	RHOG
NP_004299.1	ARHGAP1
NP_001657.3	ARHGAP4
NP_001025226.1	ARHGAP5
NP_038286.2	ARHGAP6
NP_004300.1	ARHGDIA
NP_001166.3	ARHGDIB
NP_001167.2	ARHGDIG
NP_004301.1	RHOH
NP_001168.1	ARL1
NP_005160.2	PHOX2A
NP_001658.2	ARL2
NP_004302.1	ARL3
NP_001659.1	ARNT
NP_001284648.1	BMAL1
NP_004303.2	ARR3
NP_004032.2	ARRB1
NP_004304.1	ARRB2
NP_000478.3	ARSA
NP_000037.2	ARSB
NP_001307681.2	STS
NP_001660.2	ARSD
NP_000038.2	ARSL
NP_001188468.1	ARSF
NP_004305.2	ART1
NP_001123488.1	ART3
NP_066549.2	ART4
NP_001661.1	ARVCF
NP_808592.2	ASAH1
NP_004307.2	ASCL1
NP_005161.1	ASCL2
NP_001662.1	ASGR1
NP_001188281.1	ASGR2
NP_001663.2	ASIP
NP_000039.2	ASL
NP_001164509.1	ASMT
NP_004308.2	GET3
NP_001664.3	ASNS
NP_000040.1	ASPA
