Ensembl_Gene_ID	Pfam
ENSG00000197444	PF02779
ENSG00000105953	PF02779
ENSG00000178127	PF01257.14
ENSG00000166912	PF06602
ENSG00000014914	PF06602
ENSG00000264524	PF06602
ENSG00000150712	PF06602
ENSG00000203857	PF01073.14
ENSG00000147383	PF01073.14
ENSG00000203859	PF01073.14
ENSG00000099377	PF01073.14
ENSG00000184860	PF01073.14
ENSG00000183921	PF01073.14
ENSG00000157828	PF08071
ENSG00000129824	PF08071
ENSG00000198034	PF08071
ENSG00000168028	PF00318.15
ENSG00000136371	PF01812.15
ENSG00000103248	PF00076
ENSG00000185013	PF06189.7
ENSG00000116981	PF06189.7
ENSG00000108576	PF00209.13
ENSG00000178425	PF05761.9
ENSG00000111696	PF05761.9
ENSG00000168268	PF05761.9
ENSG00000144130	PF05761.9
ENSG00000076685	PF05761.9
ENSG00000155463	PF02096.15
ENSG00000163626	PF02096.15
ENSG00000188822	PF00001.16
ENSG00000163464	PF00001.16
ENSG00000180720	PF00001.16
ENSG00000120436	PF00001.16
ENSG00000164270	PF00001.16
ENSG00000102539	PF00001.16
ENSG00000134640	PF00001.16
ENSG00000244165	PF00001.16
ENSG00000146383	PF00001.16
ENSG00000121797	PF00001.16
ENSG00000180616	PF00001.16
ENSG00000116329	PF00001.16
ENSG00000179097	PF00001.16
ENSG00000186188	PF00001.16
ENSG00000257008	PF00001.16
ENSG00000181631	PF00001.16
ENSG00000174600	PF00001.16
ENSG00000175591	PF00001.16
ENSG00000133019	PF00001.16
ENSG00000133105	PF00001.16
ENSG00000119973	PF00001.16
ENSG00000056291	PF00001.16
ENSG00000101188	PF00001.16
ENSG00000197405	PF00001.16
ENSG00000187037	PF00001.16
ENSG00000069696	PF00001.16
ENSG00000166856	PF00001.16
ENSG00000173250	PF00001.16
ENSG00000144891	PF00001.16
ENSG00000119737	PF00001.16
ENSG00000132671	PF00001.16
ENSG00000157219	PF00001.16
ENSG00000183473	PF00001.16
ENSG00000102076	PF00001.16
ENSG00000166573	PF00001.16
ENSG00000132911	PF19285
ENSG00000180245	PF00001.16
ENSG00000110148	PF00001.16
ENSG00000180739	PF00001.16
ENSG00000126266	PF00001.16
ENSG00000128310	PF00001.16
ENSG00000181619	PF00001.16
ENSG00000172938	PF00001.16
ENSG00000170075	PF00001.16
ENSG00000168229	PF00001.16
ENSG00000204174	PF00001.16
ENSG00000183484	PF00001.16
ENSG00000183625	PF00001.16
ENSG00000168830	PF00001.16
ENSG00000151617	PF00001.16
ENSG00000184845	PF00001.16
ENSG00000102195	PF00001.16
ENSG00000158292	PF00001.16
ENSG00000164220	PF00001.16
ENSG00000183729	PF00001.16
ENSG00000116014	PF00001.16
ENSG00000120907	PF00001.16
ENSG00000185897	PF00001.16
ENSG00000126251	PF00001.16
ENSG00000168398	PF00001.16
ENSG00000165409	PF00001.16
ENSG00000144230	PF00001.16
ENSG00000135312	PF00001.16
ENSG00000128285	PF00001.16
ENSG00000128271	PF00001.16
ENSG00000186810	PF00001.16
ENSG00000179817	PF00001.16
ENSG00000164251	PF00001.16
ENSG00000185231	PF00001.16
ENSG00000144476	PF00001.16
ENSG00000147262	PF00001.16
ENSG00000160791	PF00001.16
ENSG00000170128	PF00001.16
ENSG00000166148	PF08983
ENSG00000171517	PF00001.16
ENSG00000138039	PF13306.1
ENSG00000136160	PF00001.16
ENSG00000125910	PF00001.16
ENSG00000181656	PF00001.16
ENSG00000127533	PF00001.16
ENSG00000125245	PF00001.16
ENSG00000126353	PF00001.16
ENSG00000172215	PF00001.16
ENSG00000166603	PF00001.16
ENSG00000118432	PF00001.16
ENSG00000170775	PF00001.16
ENSG00000043591	PF00001.16
ENSG00000184350	PF00001.16
ENSG00000170820	PF12369.3
ENSG00000151577	PF00001.16
ENSG00000139874	PF00001.16
ENSG00000187474	PF00001.16
ENSG00000174946	PF00001.16
ENSG00000143147	PF00001.16
ENSG00000139292	PF01462.13
ENSG00000171522	PF00001.16
ENSG00000124089	PF00001.16
ENSG00000198049	PF00001.16
ENSG00000265027	PF00001.16
ENSG00000137252	PF03827.8
ENSG00000182162	PF00001.16
ENSG00000184194	PF00001.16
ENSG00000188778	PF00001.16
ENSG00000173302	PF00001.16
ENSG00000171596	PF00001.16
ENSG00000171631	PF00001.16
ENSG00000006638	PF00001.16
ENSG00000119714	PF00001.16
ENSG00000174417	PF00001.16
ENSG00000168329	PF00001.16
ENSG00000144648	PF00001.16
ENSG00000170425	PF00001.16
ENSG00000135973	PF00001.16
ENSG00000181072	PF00001.16
ENSG00000135914	PF00001.16
ENSG00000082556	PF00001.16
ENSG00000182631	PF00001.16
ENSG00000054277	PF00001.16
ENSG00000205213	PF01462.13
ENSG00000173578	PF00001.16
ENSG00000178394	PF00001.16
ENSG00000173198	PF00001.16
ENSG00000101292	PF00001.16
ENSG00000211451	PF00001.16
ENSG00000173585	PF00001.16
ENSG00000050628	PF00001.16
ENSG00000178623	PF00001.16
ENSG00000170837	PF00001.16
ENSG00000134830	PF00001.16
ENSG00000123901	PF00001.16
ENSG00000175898	PF00001.16
ENSG00000182687	PF00001.16
ENSG00000142511	PF00001.16
ENSG00000150594	PF00001.16
ENSG00000121853	PF00001.16
ENSG00000169836	PF00001.16
ENSG00000160683	PF00001.16
ENSG00000135577	PF00001.16
ENSG00000184984	PF00001.16
ENSG00000115353	PF00001.16
ENSG00000125384	PF00001.16
ENSG00000126010	PF00001.16
ENSG00000179934	PF00001.16
ENSG00000250510	PF00001.16
ENSG00000178015	PF00001.16
ENSG00000171657	PF00001.16
ENSG00000075073	PF00001.16
ENSG00000152034	PF00001.16
ENSG00000163914	PF10413
ENSG00000156097	PF00001.16
ENSG00000165621	PF00001.16
ENSG00000078589	PF00001.16
ENSG00000184160	PF00001.16
ENSG00000170255	PF00001.16
ENSG00000122420	PF00001.16
ENSG00000165370	PF00001.16
ENSG00000177464	PF00001.16
ENSG00000140030	PF00001.16
ENSG00000164850	PF00001.16
ENSG00000171051	PF00001.16
ENSG00000163394	PF09193
ENSG00000213906	PF00001.16
ENSG00000175514	PF00001.16
ENSG00000181773	PF00001.16
ENSG00000176136	PF00001.16
ENSG00000126895	PF00001.16
ENSG00000172935	PF00001.16
ENSG00000179921	PF00001.16
ENSG00000179546	PF00001.16
ENSG00000100739	PF00001.16
ENSG00000184574	PF00001.16
ENSG00000129048	PF00001.16
ENSG00000171509	PF00001.16
ENSG00000132975	PF00001.16
ENSG00000149295	PF00001.16
ENSG00000064547	PF00001.16
ENSG00000180772	PF00001.16
ENSG00000169313	PF00001.16
ENSG00000172209	PF00001.16
ENSG00000213903	PF00001.16
ENSG00000126262	PF00001.16
ENSG00000164849	PF00001.16
ENSG00000130368	PF00001.16
ENSG00000179826	PF00001.16
ENSG00000166073	PF00001.16
ENSG00000198121	PF00001.16
ENSG00000146399	PF00001.16
ENSG00000164604	PF00001.16
ENSG00000102468	PF00001.16
ENSG00000182782	PF00001.16
ENSG00000109163	PF00001.16
ENSG00000113749	PF00001.16
ENSG00000155269	PF00001.16
ENSG00000196184	PF00001.16
ENSG00000146378	PF00001.16
ENSG00000222040	PF00001.16
ENSG00000171860	PF00001.16
ENSG00000180914	PF00001.16
ENSG00000158748	PF00001.16
ENSG00000128617	PF00001.16
ENSG00000186867	PF00001.16
ENSG00000196917	PF00001.16
ENSG00000180929	PF00001.16
ENSG00000203737	PF00001.16
ENSG00000146360	PF00001.16
ENSG00000154165	PF00001.16
ENSG00000180871	PF00001.16
ENSG00000183695	PF00001.16
ENSG00000148734	PF00001.16
ENSG00000170989	PF00001.16
ENSG00000160013	PF00001.16
ENSG00000169618	PF00001.16
ENSG00000170214	PF00001.16
ENSG00000169006	PF00001.16
ENSG00000166160	PF00001.16
ENSG00000147380	PF00001.16
ENSG00000147138	PF00001.16
ENSG00000163485	PF00001.16
ENSG00000198829	PF00001.16
ENSG00000169403	PF00001.16
ENSG00000169676	PF00001.16
ENSG00000134817	PF00001.16
ENSG00000125510	PF00001.16
ENSG00000135898	PF00001.16
ENSG00000185149	PF00001.16
ENSG00000148604	PF00001.16
ENSG00000171659	PF00001.16
ENSG00000169860	PF00001.16
ENSG00000204882	PF00001.16
ENSG00000183813	PF00001.16
ENSG00000134489	PF00001.16
ENSG00000121966	PF12109
ENSG00000139572	PF00001.16
ENSG00000121764	PF00001.16
ENSG00000196639	PF00001.16
ENSG00000122375	PF00001.16
ENSG00000258839	PF00001.16
ENSG00000112486	PF00001.16
ENSG00000139679	PF00001.16
ENSG00000164129	PF00001.16
ENSG00000152207	PF00001.16
ENSG00000124818	PF00001.16
ENSG00000112218	PF00001.16
ENSG00000169508	PF00001.16
ENSG00000138271	PF00001.16
ENSG00000183150	PF00001.16
ENSG00000187258	PF00001.16
ENSG00000101180	PF00001.16
ENSG00000183840	PF00001.16
ENSG00000164128	PF00001.16
ENSG00000148680	PF00001.16
ENSG00000169252	PF00001.16
ENSG00000135569	PF00001.16
ENSG00000213694	PF00001.16
ENSG00000173080	PF00001.16
ENSG00000181408	PF00001.16
ENSG00000184451	PF00001.16
ENSG00000171049	PF00001.16
ENSG00000174944	PF00001.16
ENSG00000112038	PF00001.16
ENSG00000168539	PF00001.16
ENSG00000147145	PF00001.16
ENSG00000168412	PF00001.16
ENSG00000121807	PF00001.16
ENSG00000162881	PF00001.16
ENSG00000180269	PF00001.16
ENSG00000181104	PF00001.16
ENSG00000171873	PF00001.16
ENSG00000146385	PF00001.16
ENSG00000183671	PF00001.16
ENSG00000154478	PF00001.16
ENSG00000102239	PF00001.16
ENSG00000183134	PF00001.16
ENSG00000147246	PF00001.16
ENSG00000160951	PF00001.16
ENSG00000186912	PF00001.16
ENSG00000162009	PF00001.16
ENSG00000125522	PF00001.16
ENSG00000163823	PF00001.16
ENSG00000188394	PF00001.16
ENSG00000182885	PF00002.19
ENSG00000106113	PF00002.19
ENSG00000144820	PF00002.19
ENSG00000078549	PF00002.19
ENSG00000004948	PF00002.19
ENSG00000020181	PF00002.19
ENSG00000181790	PF16489
ENSG00000197177	PF00002.19
ENSG00000205336	PF18619
ENSG00000162618	PF16489
ENSG00000156920	PF00354
ENSG00000173698	PF00002.19
ENSG00000121753	PF16489
ENSG00000114812	PF00002.19
ENSG00000159618	PF00002.19
ENSG00000135298	PF16489
ENSG00000080293	PF00002.19
ENSG00000153292	PF01390.15
ENSG00000143126	PF02210
ENSG00000174837	PF07645
ENSG00000150471	PF02140
ENSG00000106128	PF00002.19
ENSG00000112164	PF00002.19
ENSG00000164393	PF00002.19
ENSG00000180264	PF00354
ENSG00000075275	PF02210
ENSG00000144407	PF00002.19
ENSG00000120088	PF00002.19
ENSG00000152990	PF00002.19
ENSG00000160801	PF00002.19
ENSG00000112414	PF00354
ENSG00000069122	PF13927
ENSG00000117114	PF02140
ENSG00000064989	PF00002.19
ENSG00000010310	PF00002.19
ENSG00000131355	PF16489
ENSG00000153294	PF00002.19
ENSG00000164199	PF03160
ENSG00000072071	PF02140
ENSG00000065325	PF00002.19
ENSG00000180758	PF00002.19
ENSG00000111452	PF13385
ENSG00000008300	PF02210
ENSG00000123146	PF07645
ENSG00000215644	PF00002.19
ENSG00000127507	PF07645
ENSG00000106018	PF00002.19
ENSG00000173567	PF12003.3
ENSG00000204694	PF13853.1
ENSG00000206472	PF13853.1
ENSG00000206517	PF13853.1
ENSG00000223898	PF13853.1
ENSG00000234347	PF13853.1
ENSG00000237258	PF13853.1
ENSG00000230780	PF13853.1
ENSG00000232289	PF13853.1
ENSG00000176695	PF13853.1
ENSG00000168124	PF13853.1
ENSG00000221840	PF13853.1
ENSG00000172640	PF13853.1
ENSG00000167825	PF13853.1
ENSG00000186400	PF13853.1
ENSG00000176540	PF13853.1
ENSG00000173285	PF13853.1
ENSG00000184478	PF13853.1
ENSG00000221882	PF13853.1
ENSG00000221888	PF13853.1
ENSG00000185372	PF13853.1
ENSG00000196539	PF13853.1
ENSG00000237388	PF13853.1
ENSG00000166884	PF13853.1
ENSG00000182083	PF13853.1
ENSG00000244623	PF13853.1
ENSG00000255012	PF13853.1
ENSG00000185821	PF13853.1
ENSG00000173679	PF13853.1
ENSG00000165204	PF13853.1
ENSG00000177476	PF13853.1
ENSG00000239590	PF13853.1
ENSG00000188340	PF13853.1
ENSG00000188269	PF13853.1
ENSG00000196936	PF13853.1
ENSG00000197786	PF13853.1
ENSG00000225781	PF13853.1
ENSG00000261323	PF13853.1
ENSG00000258083	PF13853.1
ENSG00000261301	PF13853.1
ENSG00000186306	PF13853.1
ENSG00000221996	PF13853.1
ENSG00000185097	PF13853.1
ENSG00000235249	PF13853.1
ENSG00000230178	PF13853.1
ENSG00000221931	PF13853.1
ENSG00000155249	PF13853.1
ENSG00000176495	PF13853.1
ENSG00000167359	PF13853.1
ENSG00000181698	PF13853.1
ENSG00000262784	PF13853.1
ENSG00000179626	PF13853.1
ENSG00000221977	PF13853.1
ENSG00000172457	PF13853.1
ENSG00000262647	PF13853.1
ENSG00000172381	PF13853.1
ENSG00000221954	PF13853.1
ENSG00000261383	PF13853.1
ENSG00000179919	PF13853.1
ENSG00000172774	PF13853.1
ENSG00000180433	PF13853.1
ENSG00000141194	PF13853.1
ENSG00000181785	PF13853.1
ENSG00000180658	PF13853.1
ENSG00000203757	PF13853.1
ENSG00000188124	PF13853.1
ENSG00000198104	PF13853.1
ENSG00000254737	PF13853.1
ENSG00000196098	PF13853.1
ENSG00000169327	PF13853.1
ENSG00000196099	PF13853.1
ENSG00000136939	PF13853.1
ENSG00000204704	PF13853.1
ENSG00000206525	PF13853.1
ENSG00000227639	PF13853.1
ENSG00000228977	PF13853.1
ENSG00000226463	PF13853.1
ENSG00000234101	PF13853.1
ENSG00000228652	PF13853.1
ENSG00000229328	PF13853.1
ENSG00000177489	PF13853.1
ENSG00000205029	PF13853.1
