ENSGene,ENSProt
ENSG00000004059,ENSP00000000233
ENSG00000003056,ENSP00000000412
ENSG00000004478,ENSP00000001008
ENSG00000003137,ENSP00000001146
ENSG00000002587,ENSP00000002596
ENSG00000001617,ENSP00000002829
ENSG00000001626,ENSP00000003084
ENSG00000001630,ENSP00000003100
ENSG00000004776,ENSP00000004982
ENSG00000004799,ENSP00000005178
ENSG00000006611,ENSP00000005226
ENSG00000006451,ENSP00000005257
ENSG00000006453,ENSP00000005260
ENSG00000006116,ENSP00000005284
ENSG00000004975,ENSP00000005340
ENSG00000005175,ENSP00000005386
ENSG00000005020,ENSP00000005587
ENSG00000006210,ENSP00000006053
ENSG00000005448,ENSP00000006526
ENSG00000007520,ENSP00000007390
ENSG00000006047,ENSP00000007699
ENSG00000008197,ENSP00000008391
ENSG00000008405,ENSP00000008527
ENSG00000008438,ENSP00000008938
ENSG00000010270,ENSP00000009041
ENSG00000019582,ENSP00000009530
ENSG00000091704,ENSP00000011292
ENSG00000010017,ENSP00000011619
ENSG00000010610,ENSP00000011653
ENSG00000011485,ENSP00000012443
ENSG00000012963,ENSP00000013070
ENSG00000013588,ENSP00000014914
ENSG00000013583,ENSP00000014930
ENSG00000014919,ENSP00000016171
ENSG00000071203,ENSP00000016913
ENSG00000015568,ENSP00000016946
ENSG00000015532,ENSP00000017003
ENSG00000080293,ENSP00000019103
ENSG00000019549,ENSP00000020945
ENSG00000021488,ENSP00000023064
ENSG00000023287,ENSP00000025008
ENSG00000023516,ENSP00000025301
ENSG00000079112,ENSP00000027335
ENSG00000027847,ENSP00000029410
ENSG00000034713,ENSP00000037243
ENSG00000034971,ENSP00000037502
ENSG00000036473,ENSP00000039007
ENSG00000037965,ENSP00000040584
ENSG00000037757,ENSP00000040663
ENSG00000038219,ENSP00000040738
ENSG00000059588,ENSP00000040877
ENSG00000040608,ENSP00000043402
ENSG00000041357,ENSP00000044462
ENSG00000042813,ENSP00000046087
ENSG00000043462,ENSP00000046794
ENSG00000011465,ENSP00000052754
ENSG00000048462,ENSP00000053243
ENSG00000048544,ENSP00000053468
ENSG00000030582,ENSP00000053867
ENSG00000041988,ENSP00000054650
ENSG00000049245,ENSP00000054666
ENSG00000049449,ENSP00000054950
ENSG00000049541,ENSP00000055077
ENSG00000050030,ENSP00000055682
ENSG00000050344,ENSP00000056233
ENSG00000038295,ENSP00000061240
ENSG00000013297,ENSP00000064724
ENSG00000054967,ENSP00000064780
ENSG00000058799,ENSP00000072644
ENSG00000088256,ENSP00000078429
ENSG00000060566,ENSP00000078445
ENSG00000061273,ENSP00000080059
ENSG00000061794,ENSP00000081029
ENSG00000062725,ENSP00000083182
ENSG00000012124,ENSP00000085219
ENSG00000063515,ENSP00000086933
ENSG00000067646,ENSP00000155093
ENSG00000053918,ENSP00000155840
ENSG00000071575,ENSP00000155926
ENSG00000068394,ENSP00000156109
ENSG00000021776,ENSP00000156471
ENSG00000070526,ENSP00000156626
ENSG00000013275,ENSP00000157812
ENSG00000072818,ENSP00000158762
ENSG00000072849,ENSP00000158771
ENSG00000074771,ENSP00000159060
ENSG00000127663,ENSP00000159111
ENSG00000076662,ENSP00000160262
ENSG00000077063,ENSP00000160373
ENSG00000077080,ENSP00000160382
ENSG00000079616,ENSP00000160827
ENSG00000079385,ENSP00000161559
ENSG00000047188,ENSP00000161863
ENSG00000067182,ENSP00000162749
ENSG00000066455,ENSP00000163416
ENSG00000008300,ENSP00000164024
ENSG00000068971,ENSP00000164133
ENSG00000068976,ENSP00000164139
ENSG00000069399,ENSP00000164227
ENSG00000069943,ENSP00000164305
ENSG00000071677,ENSP00000165524
ENSG00000070404,ENSP00000166139
ENSG00000070886,ENSP00000166244
ENSG00000071539,ENSP00000166345
ENSG00000071246,ENSP00000167106
ENSG00000186847,ENSP00000167586
ENSG00000171431,ENSP00000167588
ENSG00000072080,ENSP00000168148
ENSG00000072506,ENSP00000168216
ENSG00000075388,ENSP00000168712
ENSG00000073849,ENSP00000169298
ENSG00000075336,ENSP00000169551
ENSG00000078898,ENSP00000170150
ENSG00000079313,ENSP00000170168
ENSG00000075975,ENSP00000170447
ENSG00000076650,ENSP00000170564
ENSG00000064300,ENSP00000172229
ENSG00000065320,ENSP00000173229
ENSG00000067445,ENSP00000173898
ENSG00000070444,ENSP00000174618
ENSG00000069696,ENSP00000176183
ENSG00000070031,ENSP00000176195
ENSG00000073861,ENSP00000177694
ENSG00000137764,ENSP00000178640
ENSG00000078237,ENSP00000179259
ENSG00000078579,ENSP00000180166
ENSG00000003987,ENSP00000180173
ENSG00000080618,ENSP00000181383
ENSG00000065809,ENSP00000181796
ENSG00000065883,ENSP00000181839
ENSG00000064201,ENSP00000182290
ENSG00000065308,ENSP00000182527
ENSG00000065518,ENSP00000184266
ENSG00000068097,ENSP00000184956
ENSG00000068912,ENSP00000185150
ENSG00000075089,ENSP00000188312
ENSG00000078098,ENSP00000188790
ENSG00000154252,ENSP00000192314
ENSG00000081087,ENSP00000193322
ENSG00000081148,ENSP00000193391
ENSG00000081800,ENSP00000194130
ENSG00000081870,ENSP00000194214
ENSG00000082146,ENSP00000194530
ENSG00000083444,ENSP00000196061
ENSG00000083720,ENSP00000196371
ENSG00000085514,ENSP00000198536
ENSG00000085721,ENSP00000198767
ENSG00000166391,ENSP00000198801
ENSG00000167580,ENSP00000199280
ENSG00000086189,ENSP00000199320
ENSG00000086232,ENSP00000199389
ENSG00000086288,ENSP00000199447
ENSG00000086506,ENSP00000199708
ENSG00000086548,ENSP00000199764
ENSG00000086589,ENSP00000199814
ENSG00000086696,ENSP00000199936
ENSG00000086827,ENSP00000200135
ENSG00000132470,ENSP00000200181
ENSG00000087074,ENSP00000200453
ENSG00000087077,ENSP00000200457
ENSG00000197208,ENSP00000200652
ENSG00000087237,ENSP00000200676
ENSG00000087250,ENSP00000200691
ENSG00000087510,ENSP00000201031
ENSG00000088002,ENSP00000201586
ENSG00000088356,ENSP00000202017
ENSG00000088808,ENSP00000202556
ENSG00000188559,ENSP00000202677
ENSG00000089163,ENSP00000202967
ENSG00000089195,ENSP00000203001
ENSG00000010256,ENSP00000203407
ENSG00000089692,ENSP00000203629
ENSG00000089693,ENSP00000203630
ENSG00000089723,ENSP00000203664
ENSG00000090447,ENSP00000204517
ENSG00000090470,ENSP00000204549
ENSG00000090487,ENSP00000204566
ENSG00000090539,ENSP00000204604
ENSG00000090581,ENSP00000204679
ENSG00000090776,ENSP00000204961
ENSG00000090971,ENSP00000205194
ENSG00000157426,ENSP00000205214
ENSG00000091140,ENSP00000205402
ENSG00000091262,ENSP00000205557
ENSG00000091317,ENSP00000205636
ENSG00000091583,ENSP00000205948
ENSG00000091640,ENSP00000206020
ENSG00000091844,ENSP00000206262
ENSG00000091986,ENSP00000206423
ENSG00000092067,ENSP00000206513
ENSG00000092094,ENSP00000206542
ENSG00000092295,ENSP00000206765
ENSG00000092850,ENSP00000207457
ENSG00000092929,ENSP00000207549
ENSG00000093217,ENSP00000207870
ENSG00000187758,ENSP00000209668
ENSG00000094804,ENSP00000209728
ENSG00000094914,ENSP00000209873
ENSG00000094916,ENSP00000209875
ENSG00000076321,ENSP00000209884
ENSG00000095059,ENSP00000210060
ENSG00000167964,ENSP00000210187
ENSG00000095261,ENSP00000210313
ENSG00000095380,ENSP00000210444
ENSG00000174156,ENSP00000211122
ENSG00000156711,ENSP00000211287
ENSG00000035403,ENSP00000211998
ENSG00000096717,ENSP00000212015
ENSG00000069702,ENSP00000212355
ENSG00000099203,ENSP00000214869
ENSG00000099326,ENSP00000215057
ENSG00000099341,ENSP00000215071
ENSG00000099365,ENSP00000215095
ENSG00000099617,ENSP00000215368
ENSG00000099624,ENSP00000215375
ENSG00000070388,ENSP00000215530
ENSG00000099795,ENSP00000215565
ENSG00000099797,ENSP00000215567
ENSG00000099800,ENSP00000215570
ENSG00000099804,ENSP00000215574
ENSG00000099860,ENSP00000215631
ENSG00000099866,ENSP00000215637
ENSG00000188130,ENSP00000215659
ENSG00000099937,ENSP00000215727
ENSG00000099940,ENSP00000215730
ENSG00000184436,ENSP00000215742
ENSG00000099953,ENSP00000215743
ENSG00000240972,ENSP00000215754
ENSG00000099985,ENSP00000215781
ENSG00000099995,ENSP00000215793
ENSG00000184979,ENSP00000215794
ENSG00000100028,ENSP00000215829
ENSG00000100030,ENSP00000215832
ENSG00000185339,ENSP00000215838
ENSG00000100053,ENSP00000215855
ENSG00000100075,ENSP00000215882
ENSG00000100078,ENSP00000215885
ENSG00000241360,ENSP00000215904
ENSG00000100097,ENSP00000215909
ENSG00000100124,ENSP00000215941
