NP_001079.1	F1T0I5
NP_001077.2	P22760
NP_001078.2	Q13685
NP_000006.2	A4Z6T7
NP_570602.2	P04217
NP_001076.2	A0A024R6P0
NP_065737.2	P80404
NP_000653.3	P18440
NP_001596.2	P49588
NP_000005.3	P01023
NP_001258625.1	O75027
NP_001080.2	Q99758
NP_005493.2	O95477
NP_001598.1	A0A024R2M6
NP_001020262.1	A0A1U9X609
NP_001082.2	P19801
NP_068781.2	Q12979
NP_009298.1	P42684
NP_005148.2	A0A024R8E2
NP_001599.1	P28330
NP_000341.2	P78363
NP_000007.1	A0A0S2Z366
NP_000008.1	E5KSD5
NP_001600.1	A0A0S2Z3P9
NP_000010.1	A0A140VJX1
NP_000009.1	P49748
NP_001084.3	O00763
NP_005882.2	Q9BWD1
NP_001088.2	P10323
NP_001086.2	P78348
NP_000656.1	P22303
NP_001089.1	Q99798
NP_001087.2	A0A024R1T9
NP_002188.1	P21399
NP_004291.1	P24666
NP_001601.1	P11117
NP_001090.2	P15309
NP_001602.1	A0A024R7F8
NP_001603.1	P26436
NP_001091.1	P68133
NP_005150.1	P68032
NP_001605.1	P63261
NP_001092.1	P60709
NP_001606.1	P63267
NP_001604.1	D2JYH4
NP_004292.1	O96019
NP_004915.2	A0A0S2Z3G9
NP_001094.1	P35609
NP_001104537.1	D3DPA4
NP_001095.2	Q08043
NP_004293.1	P36896
NP_001607.1	P27037
NP_001097.2	Q13705
NP_001098.1	P07311
NP_000011.2	A0A0S2Z310
NP_000657.1	Q03154
NP_001307515.1	U3KQL2
NP_000013.2	A0A0S2Z381
NP_001100.3	P78325
NP_001101.1	A0A024R5U5
NP_061172.1	Q9NS39
NP_065433.2	Q08462
NP_001102.3	P55265
NP_004027.2	O60266
NP_066939.1	Q08828
NP_001093203.1	P18509
NP_899200.1	A0A384P5Q5
NP_056085.1	O43306
NP_001105.1	P51828
NP_001107.2	O60503
NP_001106.1	A0A0K0K1K3
NP_001109.2	A0A090N8F8
NP_001113.2	Q6FHZ7
NP_000658.1	P07327
NP_058432.1	Q5VU08
NP_001608.1	P35612
NP_000660.1	P00326
NP_001341690.1	A0A804HL01
NP_000662.3	P11766
NP_000661.2	P08319
NP_001115.1	P35318
NP_000664.3	A0A0C4DG85
NP_006712.2	P55263
NP_000665.1	P30542
NP_000668.1	P0DMS8
NP_000667.1	P29275
NP_000666.2	P29274
NP_001116.1	P54922
NP_000659.2	V9HW50
NP_001609.2	A0A024R3T8
NP_000670.1	P35368
NP_000669.1	B0ZBE0
NP_000671.2	P35348
NP_006428.2	Q9UKK3
NP_000015.2	P07550
NP_000672.3	P08913
NP_000674.2	P18825
NP_000016.1	A8KAG8
NP_000673.2	P18089
NP_005151.2	A0A024R1D8
NP_001610.2	A0A0S2Z392
NP_000017.1	P30566
NP_001117.2	A0A024R5Q7
NP_001025177.1	A0A140VJE8
NP_001119.3	O43747
NP_036437.1	O94973
NP_001121.2	Q08117
NP_001122.2	A0A0K0K1I1
NP_001124.1	P43652
NP_001125.1	P02771
NP_001120.3	Q8IUX7
NP_000018.2	P20933
NP_001127.1	A0A1U9X785
NP_001129.1	C6SUN5
NP_001371408.1	A0A7P0T8D1
NP_000676.1	P30556
NP_000205.1	P78504
NP_000677.2	P50052
NP_000021.1	P21549
NP_005152.1	P35414
NP_000466.2	F1D8P4
NP_001613.2	P02765
NP_001612.1	A0A024R9Z8
NP_000678.1	A0A384MTQ3
NP_000633.2	P35573
NP_001614.3	P55008
NP_000467.1	P00568
NP_001616.1	A0A140VK93
NP_001617.1	P31751
NP_037542.1	P27144
NP_001369359.1	B0LPE5
NP_000022.3	A0A140VJL9
NP_000468.1	P02768
NP_000679.1	P13196
NP_001618.2	Q13740
NP_000023.2	P22557
NP_000680.2	P00352
NP_000682.3	P30838
NP_000681.2	A0A384NPN7
NP_000024.2	P33897
NP_000684.2	A0A024RC95
NP_000683.3	A0A384MTJ7
