ensembl_gene_id,refseq_ids,uniprot_ids,gen_symbol,ensembl_prot_id,uniprot_ensembl_id,gene_age
ENSG00000121410,NP_570602.2,P04217,A1BG,ENSP00000263100.2,P04217,382
ENSG00000175899,NP_000005.3,P01023,A2M,ENSP00000323929.8,P01023,950
ENSG00000171428,NP_000653.3,P18440,NAT1,ENSP00000307218.4,P18440,680
ENSG00000156006,NP_000006.2,P11245,NAT2,ENSP00000286479.3,P11245,25
ENSG00000196136,NP_001076.2,P01011,SERPINA3,ENSP00000376793.3,P01011,244
ENSG00000114771,NP_001077.2,P22760,AADAC,ENSP00000232892.6,P22760,950
ENSG00000127837,NP_001078.2,Q13685,AAMP,ENSP00000248450.4,Q13685,1714
ENSG00000129673,NP_001079.1,Q16613,AANAT,ENSP00000376282.2,Q16613,544
ENSG00000090861,NP_001596.2,P49588,AARS1,ENSP00000261772.8,P49588,4290
ENSG00000183044,NP_065737.2,P80404,ABAT,ENSP00000268251.8,P80404,1064
ENSG00000165029,NP_005493.2,O95477,ABCA1,ENSP00000363868.3,O95477,1488
ENSG00000107331,NP_001597.2,Q9BZC7,ABCA2,ENSP00000344155.6,Q9BZC7,680
ENSG00000167972,NP_001080.2,Q99758,ABCA3,ENSP00000301732.5,Q99758,1064
ENSG00000131269,NP_001258625.1,O75027,ABCB7,ENSP00000362492.3,O75027,1488
ENSG00000204574,NP_001020262.1,Q8NE71,ABCF1,ENSP00000313603.8,Q8NE71,1292
ENSG00000198691,NP_000341.2,P78363,ABCA4,ENSP00000359245.3,P78363,1064
ENSG00000097007,NP_005148.2,P00519,ABL1,ENSP00000323315.5,P00519,886
ENSG00000002726,NP_001082.2,P19801,AOC1,ENSP00000354193.4,P19801,645
ENSG00000143322,NP_009298.1,P42684,ABL2,ENSP00000427562.1,P42684,886
ENSG00000159842,NP_068781.2,Q12979,ABR,ENSP00000303909.5,Q12979,987
ENSG00000060971,NP_001598.1,P09110,ACAA1,ENSP00000333664.8,P09110,645
ENSG00000278540,NP_942131.1,Q13085,ACACA,ENSP00000483300.1,Q13085,645
ENSG00000076555,NP_001084.3,O00763,ACACB,ENSP00000341044.7,O00763,950
ENSG00000115361,NP_001599.1,P28330,ACADL,ENSP00000233710.3,P28330,886
ENSG00000117054,NP_000007.1,P11310,ACADM,ENSP00000359878.5,P11310,645
ENSG00000122971,NP_000008.1,P16219,ACADS,ENSP00000242592.4,P16219,950
ENSG00000196177,NP_001600.1,P45954,ACADSB,ENSP00000357873.3,P45954,645
ENSG00000072778,NP_000009.1,P49748,ACADVL,ENSP00000349297.5,P49748,1064
ENSG00000075239,NP_000010.1,P24752,ACAT1,ENSP00000265838.4,P24752,1488
ENSG00000120437,NP_005882.2,Q9BWD1,ACAT2,ENSP00000356015.4,Q9BWD1,645
ENSG00000108684,NP_899233.1,Q16515,ASIC2,ENSP00000225823.2,Q16515,544
ENSG00000110881,NP_001086.2,P78348,ASIC1,ENSP00000400228.3,P78348,987
ENSG00000087085,NP_000656.1,P22303,ACHE,ENSP00000241069.5,P22303,950
ENSG00000131473,NP_001087.2,P53396,ACLY,ENSP00000253792.2,P53396,1488
ENSG00000122729,NP_002188.1,P21399,ACO1,ENSP00000309477.5,P21399,645
ENSG00000100312,NP_001088.2,P10323,ACR,ENSP00000216139.5,P10323,101
ENSG00000100412,NP_001089.1,Q99798,ACO2,ENSP00000216254.4,Q99798,1488
ENSG00000161533,NP_004026.2,Q15067,ACOX1,ENSP00000293217.4,Q15067,645
ENSG00000143727,NP_004291.1,P24666,ACP1,ENSP00000272065.5,P24666,1488
ENSG00000134575,NP_001601.1,P11117,ACP2,ENSP00000500291.1,P11117,1714
ENSG00000102575,NP_001602.1,P13686,ACP5,ENSP00000496973.1,P13686,886
ENSG00000014257,NP_001090.2,P15309,ACP3,ENSP00000337471.5,P15309,424
ENSG00000134940,NP_001603.1,P26436,ACRV1,ENSP00000432816.1,P26436,132
ENSG00000143632,NP_001091.1,P68133,ACTA1,ENSP00000355645.3,P68133,1714
ENSG00000107796,NP_001604.1,P62736,ACTA2,ENSP00000224784.6,P62736,645
ENSG00000075624,NP_001092.1,P60709,ACTB,ENSP00000494750.1,P60709,645
ENSG00000159251,NP_005150.1,P68032,ACTC1,ENSP00000290378.4,P68032,1714
ENSG00000184009,NP_001605.1,P63261,ACTG1,ENSP00000458435.1,P63261,454
ENSG00000163017,NP_001606.1,P63267,ACTG2,ENSP00000295137.3,P63267,424
ENSG00000130402,NP_004915.2,O43707,ACTN4,ENSP00000252699.2,O43707,382
ENSG00000136518,NP_004292.1,O96019,ACTL6A,ENSP00000397552.2,O96019,1714
ENSG00000072110,NP_001123476.1,P12814,ACTN1,ENSP00000377941.4,P12814,645
ENSG00000077522,NP_001094.1,P35609,ACTN2,ENSP00000355537.4,P35609,1292
ENSG00000248746,NP_001095.2,Q08043,ACTN3,ENSP00000426797.1,Q08043,168
ENSG00000115170,NP_001104537.1,Q04771,ACVR1,ENSP00000405004.1,Q04771,987
ENSG00000135503,NP_004293.1,P36896,ACVR1B,ENSP00000257963.4,P36896,987
ENSG00000121989,NP_001607.1,P27037,ACVR2A,ENSP00000241416.7,P27037,987
ENSG00000114739,NP_001097.2,Q13705,ACVR2B,ENSP00000340361.3,Q13705,987
ENSG00000139567,NP_000011.2,P37023,ACVRL1,ENSP00000373574.4,P37023,987
ENSG00000243989,NP_000657.1,Q03154,ACY1,ENSP00000490149.1,Q03154,1064
ENSG00000119640,NP_001098.1,P07311,ACYP1,ENSP00000238618.3,P07311,645
ENSG00000170634,NP_001307515.1,U3KQL2,ACYP2,ENSP00000475986.1,U3KQL2,645
ENSG00000196839,NP_000013.2,P00813,ADA,ENSP00000361965.4,P00813,1714
ENSG00000151651,NP_001100.3,P78325,ADAM8,ENSP00000453302.1,P78325,645
ENSG00000137845,NP_001101.1,O14672,ADAM10,ENSP00000260408.3,O14672,1292
ENSG00000160710,NP_001102.3,P55265,ADAR,ENSP00000357459.4,P55265,987
ENSG00000197381,NP_001103.1,P78563,ADARB1,ENSP00000015877.6,P78563,987
ENSG00000185736,NP_061172.1,Q9NS39,ADARB2,ENSP00000370713.1,Q9NS39,987
ENSG00000164742,NP_066939.1,Q08828,ADCY1,ENSP00000297323.7,Q08828,987
ENSG00000078295,NP_065433.2,Q08462,ADCY2,ENSP00000342952.4,Q08462,987
ENSG00000138031,NP_004027.2,O60266,ADCY3,ENSP00000505261.1,O60266,454
ENSG00000173175,NP_899200.1,O95622,ADCY5,ENSP00000419361.1,O95622,886
ENSG00000174233,NP_056085.1,O43306,ADCY6,ENSP00000350536.4,O43306,987
ENSG00000121281,NP_001105.1,P51828,ADCY7,ENSP00000501053.1,P51828,987
ENSG00000155897,NP_001106.1,P40145,ADCY8,ENSP00000286355.5,P40145,645
ENSG00000162104,NP_001107.2,O60503,ADCY9,ENSP00000294016.3,O60503,987
ENSG00000141433,NP_001093203.1,P18509,ADCYAP1,ENSP00000411658.3,P18509,645
ENSG00000078549,NP_001109.2,P41586,ADCYAP1R1,ENSP00000306620.4,P41586,454
ENSG00000087274,NP_001341690.1,A0A804HL01,ADD1,ENSP00000508142.1,A0A804HL01,1064
ENSG00000075340,NP_001608.1,P35612,ADD2,ENSP00000264436.3,P35612,1064
ENSG00000148700,NP_058432.1,Q9UEY8,ADD3,ENSP00000348381.4,Q9UEY8,1064
ENSG00000147872,NP_001113.2,Q99541,PLIN2,ENSP00000276914.2,Q99541,680
ENSG00000187758,NP_000658.1,P07327,ADH1A,ENSP00000209668.2,P07327,454
ENSG00000196616,NP_000659.2,P00325,ADH1B,ENSP00000306606.8,P00325,454
ENSG00000248144,NP_000660.1,P00326,ADH1C,ENSP00000426083.1,P00326,12
ENSG00000198099,NP_000661.2,P08319,ADH4,ENSP00000265512.7,P08319,454
ENSG00000197894,NP_000662.3,P11766,ADH5,ENSP00000296412.8,P11766,454
ENSG00000172955,NP_001095940.1,P28332,ADH6,ENSP00000378359.2,P28332,36
ENSG00000196344,NP_000664.3,A0A0C4DG85,ADH7,ENSP00000414254.2,A0A0C4DG85,332
ENSG00000156110,NP_006712.2,P55263,ADK,ENSP00000443965.2,P55263,4290
ENSG00000148926,NP_001115.1,P35318,ADM,ENSP00000278175.5,P35318,544
ENSG00000163485,NP_000665.1,P30542,ADORA1,ENSP00000338435.4,P30542,950
ENSG00000128271,NP_000666.2,P29274,ADORA2A,ENSP00000336630.6,P29274,950
ENSG00000170425,NP_000667.1,P29275,ADORA2B,ENSP00000304501.2,P29275,950
ENSG00000282608,NP_000668.1,P0DMS8,ADORA3,ENSP00000241356.4,P0DMS8,3
ENSG00000144843,NP_001116.1,P54922,ADPRH,ENSP00000349496.3,P54922,645
ENSG00000143799,NP_001609.2,P09874,PARP1,ENSP00000355759.5,P09874,1488
ENSG00000102699,NP_006428.2,Q9UKK3,PARP4,ENSP00000371419.3,Q9UKK3,1064
ENSG00000171873,NP_000669.1,P25100,ADRA1D,ENSP00000368766.4,P25100,886
ENSG00000170214,NP_000670.1,P35368,ADRA1B,ENSP00000306662.3,P35368,886
ENSG00000120907,NP_000671.2,P35348,ADRA1A,ENSP00000369947.3,P35348,680
ENSG00000150594,NP_000672.3,P08913,ADRA2A,ENSP00000280155.2,P08913,680
ENSG00000274286,NP_000673.2,P18089,ADRA2B,ENSP00000480573.1,P18089,886
ENSG00000184160,NP_000674.2,P18825,ADRA2C,ENSP00000386069.2,P18825,78
ENSG00000043591,NP_000675.1,P08588,ADRB1,ENSP00000358301.2,P08588,680
ENSG00000169252,NP_000015.2,P07550,ADRB2,ENSP00000305372.4,P07550,680
ENSG00000188778,NP_000016.1,P13945,ADRB3,ENSP00000343782.3,P13945,680
ENSG00000173020,NP_001610.2,P25098,GRK2,ENSP00000312262.5,P25098,424
ENSG00000100077,NP_005151.2,P35626,GRK3,ENSP00000317578.4,P35626,645
ENSG00000239900,NP_000017.1,P30566,ADSL,ENSP00000485525.1,P30566,1714
ENSG00000035687,NP_001117.2,P30520,ADSS2,ENSP00000355493.3,P30520,4290
