gene_id	gene_symbol	pseudo_gene_status
1	A1BG	0
2	A2M	1
9	NAT1	0
10	NAT2	1
12	SERPINA3	0
13	AADAC	1
14	AAMP	0
15	AANAT	0
16	AARS1	1
18	ABAT	0
19	ABCA1	0
20	ABCA2	0
21	ABCA3	1
22	ABCB7	0
23	ABCF1	0
24	ABCA4	0
25	ABL1	0
26	AOC1	0
27	ABL2	0
29	ABR	0
30	ACAA1	0
31	ACACA	0
32	ACACB	0
33	ACADL	0
34	ACADM	0
35	ACADS	0
36	ACADSB	0
37	ACADVL	0
38	ACAT1	0
39	ACAT2	0
40	ASIC2	0
41	ASIC1	0
43	ACHE	0
47	ACLY	0
48	ACO1	0
49	ACR	1
50	ACO2	1
51	ACOX1	0
52	ACP1	0
53	ACP2	0
54	ACP5	0
55	ACP3	0
56	ACRV1	0
58	ACTA1	0
59	ACTA2	0
60	ACTB	1
70	ACTC1	0
71	ACTG1	1
72	ACTG2	1
81	ACTN4	1
86	ACTL6A	0
87	ACTN1	0
88	ACTN2	0
89	ACTN3	0
90	ACVR1	0
91	ACVR1B	0
92	ACVR2A	0
93	ACVR2B	0
94	ACVRL1	0
95	ACY1	1
97	ACYP1	0
98	ACYP2	0
100	ADA	0
101	ADAM8	0
102	ADAM10	0
103	ADAR	0
104	ADARB1	0
105	ADARB2	0
107	ADCY1	0
108	ADCY2	0
109	ADCY3	0
111	ADCY5	0
112	ADCY6	0
113	ADCY7	0
114	ADCY8	0
115	ADCY9	0
116	ADCYAP1	0
117	ADCYAP1R1	0
118	ADD1	0
119	ADD2	0
120	ADD3	0
123	PLIN2	1
124	ADH1A	0
125	ADH1B	0
126	ADH1C	0
127	ADH4	0
128	ADH5	1
130	ADH6	0
131	ADH7	0
132	ADK	0
133	ADM	0
134	ADORA1	0
135	ADORA2A	0
136	ADORA2B	1
140	ADORA3	0
141	ADPRH	0
142	PARP1	1
143	PARP4	1
146	ADRA1D	0
147	ADRA1B	0
148	ADRA1A	0
150	ADRA2A	0
151	ADRA2B	0
152	ADRA2C	0
153	ADRB1	0
154	ADRB2	0
155	ADRB3	0
156	GRK2	0
157	GRK3	0
158	ADSL	0
159	ADSS2	1
160	AP2A1	0
161	AP2A2	0
162	AP1B1	1
163	AP2B1	1
164	AP1G1	0
165	AEBP1	0
166	TLE5	0
167	CRISP1	0
173	AFM	0
174	AFP	0
175	AGA	1
176	ACAN	0
177	AGER	0
178	AGL	0
181	AGRP	0
182	JAG1	0
183	AGT	0
185	AGTR1	0
186	AGTR2	0
187	APLNR	0
189	AGXT	0
190	NR0B1	0
191	AHCY	1
196	AHR	1
197	AHSG	0
199	AIF1	0
202	CRYBG1	0
203	AK1	0
204	AK2	1
205	AK4	1
207	AKT1	0
208	AKT2	0
210	ALAD	0
211	ALAS1	1
212	ALAS2	0
213	ALB	0
214	ALCAM	0
215	ABCD1	1
216	ALDH1A1	0
217	ALDH2	0
218	ALDH3A1	0
219	ALDH1B1	0
220	ALDH1A3	0
221	ALDH3B1	0
222	ALDH3B2	0
223	ALDH9A1	0
224	ALDH3A2	0
225	ABCD2	0
226	ALDOA	1
229	ALDOB	0
230	ALDOC	0
231	AKR1B1	1
238	ALK	0
239	ALOX12	1
240	ALOX5	0
241	ALOX5AP	0
242	ALOX12B	0
246	ALOX15	1
247	ALOX15B	0
248	ALPI	0
249	ALPL	0
250	ALPP	0
251	ALPG	0
257	ALX3	0
258	AMBN	0
259	AMBP	0
262	AMD1	1
265	AMELX	0
266	AMELY	0
267	AMFR	0
268	AMH	0
269	AMHR2	0
270	AMPD1	0
271	AMPD2	0
272	AMPD3	0
273	AMPH	1
274	BIN1	0
275	AMT	1
276	AMY1A	0
277	AMY1B	0
278	AMY1C	0
279	AMY2A	1
280	AMY2B	0
283	ANG	0
284	ANGPT1	0
285	ANGPT2	0
286	ANK1	0
287	ANK2	0
288	ANK3	0
290	ANPEP	0
291	SLC25A4	0
292	SLC25A5	1
293	SLC25A6	1
301	ANXA1	0
302	ANXA2	1
306	ANXA3	0
307	ANXA4	0
308	ANXA5	0
309	ANXA6	0
310	ANXA7	0
311	ANXA11	0
312	ANXA13	0
313	AOAH	0
314	AOC2	0
316	AOX1	0
317	APAF1	0
318	NUDT2	0
319	APOF	1
320	APBA1	0
321	APBA2	1
322	APBB1	0
323	APBB2	0
324	APC	0
325	APCS	1
326	AIRE	0
327	APEH	0
328	APEX1	0
329	BIRC2	0
330	BIRC3	0
331	XIAP	1
332	BIRC5	0
333	APLP1	0
334	APLP2	0
335	APOA1	0
336	APOA2	0
337	APOA4	0
338	APOB	0
339	APOBEC1	0
341	APOC1	1
343	AQP8	0
344	APOC2	0
345	APOC3	0
346	APOC4	0
347	APOD	0
348	APOE	0
350	APOH	0
351	APP	0
353	APRT	0
354	KLK3	0
355	FAS	0
356	FASLG	0
357	SHROOM2	1
358	AQP1	0
359	AQP2	0
360	AQP3	0
361	AQP4	0
362	AQP5	0
363	AQP6	0
364	AQP7	1
366	AQP9	0
367	AR	0
368	ABCC6	1
369	ARAF	1
372	ARCN1	0
373	TRIM23	0
374	AREG	0
375	ARF1	1
377	ARF3	0
378	ARF4	1
379	ARL4D	0
381	ARF5	0
382	ARF6	1
383	ARG1	0
384	ARG2	1
387	RHOA	1
388	RHOB	0
389	RHOC	0
390	RND3	0
391	RHOG	1
392	ARHGAP1	0
393	ARHGAP4	0
394	ARHGAP5	1
395	ARHGAP6	0
396	ARHGDIA	0
397	ARHGDIB	0
398	ARHGDIG	0
399	RHOH	0
400	ARL1	1
401	PHOX2A	0
402	ARL2	0
403	ARL3	0
405	ARNT	0
406	BMAL1	0
407	ARR3	0
408	ARRB1	0
409	ARRB2	0
410	ARSA	0
411	ARSB	0
412	STS	1
414	ARSD	1
415	ARSL	1
416	ARSF	1
417	ART1	0
419	ART3	1
420	ART4	0
421	ARVCF	0
427	ASAH1	0
429	ASCL1	0
430	ASCL2	0
432	ASGR1	0
433	ASGR2	0
434	ASIP	0
435	ASL	1
438	ASMT	0
439	GET3	0
440	ASNS	1
443	ASPA	0
444	ASPH	0
445	ASS1	1
460	ASTN1	0
462	SERPINC1	0
463	ZFHX3	0
466	ATF1	1
467	ATF3	0
468	ATF4	1
471	ATIC	1
472	ATM	0
473	RERE	1
474	ATOH1	0
475	ATOX1	0
476	ATP1A1	0
477	ATP1A2	0
478	ATP1A3	0
479	ATP12A	1
480	ATP1A4	0
481	ATP1B1	1
482	ATP1B2	0
483	ATP1B3	1
486	FXYD2	0
487	ATP2A1	0
488	ATP2A2	0
489	ATP2A3	0
490	ATP2B1	1
491	ATP2B2	0
492	ATP2B3	0
493	ATP2B4	0
495	ATP4A	0
496	ATP4B	1
498	ATP5F1A	1
501	ALDH7A1	1
506	ATP5F1B	1
509	ATP5F1C	1
513	ATP5F1D	0
514	ATP5F1E	1
515	ATP5PB	1
516	ATP5MC1	1
517	ATP5MC2	1
518	ATP5MC3	0
521	ATP5ME	0
522	ATP5PF	1
523	ATP6V1A	0
525	ATP6V1B1	0
526	ATP6V1B2	1
527	ATP6V0C	1
528	ATP6V1C1	0
529	ATP6V1E1	1
533	ATP6V0B	0
534	ATP6V1G2	0
535	ATP6V0A1	0
537	ATP6AP1	1
538	ATP7A	0
539	ATP5PO	1
540	ATP7B	1
545	ATR	0
546	ATRX	0
547	KIF1A	0
549	AUH	0
550	AUP1	0
551	AVP	0
552	AVPR1A	0
