refseq_ids	Ensembl_Gene_ID
NP_000055.2	ENSG00000125730
NP_000054.2	ENSG00000166278
NP_001726.2	ENSG00000106804
NP_001725.1	ENSG00000182326
NP_001728.1	ENSG00000113600
NP_000210.2	ENSG00000180509
NP_000229.1	ENSG00000055118
NP_000578.2	ENSG00000112936
NP_003371.2	ENSG00000026025
NP_000388.2	ENSG00000165168
NP_000009.1	ENSG00000072778
NP_000010.1	ENSG00000075239
NP_000011.2	ENSG00000139567
NP_000017.1	ENSG00000239900
NP_000021.1	ENSG00000172482
NP_000022.3	ENSG00000148218
NP_000026.2	ENSG00000136872
NP_000029.2	ENSG00000134982
NP_000030.1	ENSG00000118137
NP_000032.1	ENSG00000130203
NP_000034.1	ENSG00000026103
NP_000036.2	ENSG00000118520
NP_000042.3	ENSG00000149311
NP_000044.2	ENSG00000123191
NP_000045.1	ENSG00000126895
NP_000046.1	ENSG00000114200
NP_000048.1	ENSG00000197299
NP_000053.2	ENSG00000149131
NP_000058.1	ENSG00000104267
NP_000060.2	ENSG00000081248
NP_000066.1	ENSG00000135446
NP_000068.1	ENSG00000147889
NP_000069.2	ENSG00000087237
NP_000072.2	ENSG00000143669
NP_000076.2	ENSG00000184908
NP_000088.3	ENSG00000080819
NP_000089.1	ENSG00000157184
NP_000092.2	ENSG00000051523
NP_000103.2	ENSG00000155850
NP_000112.1	ENSG00000187266
NP_000115.1	ENSG00000225830
NP_000119.1	ENSG00000088926
NP_000123.1	ENSG00000185010
NP_000126.2	ENSG00000187741
NP_000128.1	ENSG00000103876
NP_000135.2	ENSG00000165060
NP_000138.2	ENSG00000179163
NP_000143.2	ENSG00000171298
NP_000144.2	ENSG00000054983
NP_000148.2	ENSG00000177628
NP_000150.1	ENSG00000105607
NP_000154.1	ENSG00000112964
NP_000156.1	ENSG00000152661
NP_000159.3	ENSG00000106571
NP_000162.2	ENSG00000145888
NP_000165.1	ENSG00000169704
NP_000166.2	ENSG00000105220
NP_000167.1	ENSG00000113580
NP_000171.1	ENSG00000132518
NP_000173.2	ENSG00000084754
NP_000174.1	ENSG00000138029
NP_000176.2	ENSG00000099937
NP_000177.2	ENSG00000000971
NP_000178.2	ENSG00000113924
NP_000189.1	ENSG00000203859
NP_000194.2	ENSG00000127415
NP_000197.1	ENSG00000147168
NP_000199.2	ENSG00000171105
NP_000206.2	ENSG00000105639
NP_000208.2	ENSG00000111262
NP_000215.1	ENSG00000111057
NP_000219.2	ENSG00000196878
NP_000224.2	ENSG00000138039
NP_000227.2	ENSG00000166035
NP_000228.1	ENSG00000175445
NP_000230.1	ENSG00000090382
NP_000234.1	ENSG00000103313
NP_000236.2	ENSG00000105976
NP_000237.2	ENSG00000179583
NP_000245.2	ENSG00000116984
NP_000246.2	ENSG00000146085
NP_000247.2	ENSG00000134571
